Year,Week,Day,Date,Time,Scoretype,WL,Team,Opp,TmScore,OppScore,off_1stD,off_TotYd,off_ PassY,off_RushY,off_TO,def_1stD,def_TotYd,def_PassY,def_RushY,def_TO
2008,1,Sun,7-Sep,4:16PM ET,boxscore,W,Arizona Cardinals,San Francisco 49ers,23,13,18,285,176,109,,13,291,183,108,5
2008,2,Sun,14-Sep,4:15PM ET,boxscore,W,Arizona Cardinals,Miami Dolphins,31,10,22,445,364,81,,17,236,164,72,
2008,3,Sun,21-Sep,1:02PM ET,boxscore,L,Arizona Cardinals,Washington Redskins,17,24,19,313,197,116,2,21,323,187,136,
2008,4,Sun,28-Sep,1:02PM ET,boxscore,L,Arizona Cardinals,New York Jets,35,56,33,468,426,42,7,23,373,284,89,1
2008,5,Sun,5-Oct,4:16PM ET,boxscore,W,Arizona Cardinals,Buffalo Bills,41,17,28,373,250,123,,13,287,203,84,4
2008,6,Sun,12-Oct,4:15PM ET,boxscore,W,Arizona Cardinals,Dallas Cowboys,30,24,14,276,226,50,3,15,374,301,73,1
2008,8,Sun,26-Oct,1:04PM ET,boxscore,L,Arizona Cardinals,Carolina Panthers,23,27,25,425,375,50,2,22,351,238,113,1
2008,9,Sun,2-Nov,1:00PM ET,boxscore,W,Arizona Cardinals,St. Louis Rams,34,13,24,510,334,176,,13,231,170,61,3
2008,10,Mon,10-Nov,8:40PM ET,boxscore,W,Arizona Cardinals,San Francisco 49ers,29,24,21,374,328,46,,19,336,217,119,3
2008,11,Sun,16-Nov,4:06PM ET,boxscore,W,Arizona Cardinals,Seattle Seahawks,26,20,24,458,382,76,3,18,196,153,43,4
2008,12,Sun,23-Nov,4:16PM ET,boxscore,L,Arizona Cardinals,New York Giants,29,37,27,371,348,23,2,18,321,234,87,
2008,13,Thu,27-Nov,8:16PM ET,boxscore,L,Arizona Cardinals,Philadelphia Eagles,20,48,12,260,235,25,4,32,437,252,185,1
2008,14,Sun,7-Dec,4:15PM ET,boxscore,W,Arizona Cardinals,St. Louis Rams,34,10,18,335,272,63,1,17,308,223,85,3
2008,15,Sun,14-Dec,4:05PM ET,boxscore,L,Arizona Cardinals,Minnesota Vikings,14,35,16,316,273,43,2,20,396,157,239,1
2008,16,Sun,21-Dec,1:02PM ET,boxscore,L,Arizona Cardinals,New England Patriots,7,47,8,186,142,44,2,27,514,331,183,
2008,17,Sun,28-Dec,4:15PM ET,boxscore,W,Arizona Cardinals,Seattle Seahawks,34,21,19,457,346,111,2,24,330,243,87,3
2009,1,Sun,13-Sep,1:15PM ET,boxscore,L,Arizona Cardinals,San Francisco 49ers,16,20,17,299,259,40,2,13,203,182,21,1
2009,2,Sun,20-Sep,1:03PM ET,boxscore,W,Arizona Cardinals,Jacksonville Jaguars,31,17,22,383,265,118,2,18,367,275,92,3
2009,3,Sun,27-Sep,8:31PM ET,boxscore,L,Arizona Cardinals,Indianapolis Colts,10,31,21,323,299,24,3,22,505,379,126,1
2009,5,Sun,11-Oct,4:15PM ET,boxscore,W,Arizona Cardinals,Houston Texans,28,21,19,340,296,44,1,23,416,371,45,1
2009,6,Sun,18-Oct,4:05PM ET,boxscore,W,Arizona Cardinals,Seattle Seahawks,27,3,21,344,282,62,2,7,128,114,14,2
2009,7,Sun,25-Oct,8:30PM ET,boxscore,W,Arizona Cardinals,New York Giants,24,17,15,288,216,72,2,15,327,220,107,4
2009,8,Sun,1-Nov,4:15PM ET,boxscore,L,Arizona Cardinals,Carolina Panthers,21,34,23,320,226,94,6,13,355,85,270,
2009,9,Sun,8-Nov,1:03PM ET,boxscore,W,Arizona Cardinals,Chicago Bears,41,21,27,438,256,182,1,20,417,347,70,1
2009,10,Sun,15-Nov,4:15PM ET,boxscore,W,Arizona Cardinals,Seattle Seahawks,31,20,22,462,340,122,,29,472,308,164,2
2009,11,Sun,22-Nov,4:05PM ET,boxscore,W,Arizona Cardinals,St. Louis Rams,21,13,24,444,261,183,2,16,314,191,123,1
2009,12,Sun,29-Nov,4:15PM ET,boxscore,L,Arizona Cardinals,Tennessee Titans,17,20,15,292,217,75,,20,532,369,163,1
2009,13,Sun,6-Dec,8:20PM ET,boxscore,W,Arizona Cardinals,Minnesota Vikings,30,17,20,398,285,113,1,22,315,253,62,2
2009,14,Mon,14-Dec,8:40PM ET,boxscore,L,Arizona Cardinals,San Francisco 49ers,9,24,11,245,160,85,7,18,327,138,189,2
2009,15,Sun,20-Dec,1:02PM ET,boxscore,W,Arizona Cardinals,Detroit Lions,31,24,21,340,218,122,3,15,282,121,161,3
2009,16,Sun,27-Dec,4:05PM ET,boxscore,W,Arizona Cardinals,St. Louis Rams,31,10,26,407,297,110,1,14,238,150,88,4
2009,17,Sun,3-Jan,4:15PM ET,boxscore,L,Arizona Cardinals,Green Bay Packers,7,33,13,187,139,48,3,24,345,236,109,1
2010,1,Sun,12-Sep,4:15PM ET,boxscore,W,Arizona Cardinals,St. Louis Rams,17,13,21,378,266,112,4,20,325,240,85,4
2010,2,Sun,19-Sep,1:03PM ET,boxscore,L,Arizona Cardinals,Atlanta Falcons,7,41,11,267,149,118,3,33,444,223,221,1
2010,3,Sun,26-Sep,4:15PM ET,boxscore,W,Arizona Cardinals,Oakland Raiders,24,23,18,227,108,119,3,20,364,231,133,1
2010,4,Sun,3-Oct,4:15PM ET,boxscore,L,Arizona Cardinals,San Diego Chargers,10,41,10,134,87,47,3,23,419,239,180,1
2010,5,Sun,10-Oct,4:05PM ET,boxscore,W,Arizona Cardinals,New Orleans Saints,30,20,12,194,153,41,1,19,358,273,85,4
2010,7,Sun,24-Oct,4:06PM ET,boxscore,L,Arizona Cardinals,Seattle Seahawks,10,22,13,227,114,113,5,16,302,158,144,1
2010,8,Sun,31-Oct,4:15PM ET,boxscore,L,Arizona Cardinals,Tampa Bay Buccaneers,35,38,22,396,296,100,4,19,407,253,154,2
2010,9,Sun,7-Nov,1:05PM ET,boxscore,L,Arizona Cardinals,Minnesota Vikings,24,27,13,225,172,53,1,28,507,427,80,3
2010,10,Sun,14-Nov,4:15PM ET,boxscore,L,Arizona Cardinals,Seattle Seahawks,18,36,19,327,286,41,2,24,490,380,110,1
2010,11,Sun,21-Nov,1:03PM ET,boxscore,L,Arizona Cardinals,Kansas City Chiefs,13,31,19,382,281,101,,17,352,193,159,
2010,12,Mon,29-Nov,8:40PM ET,boxscore,L,Arizona Cardinals,San Francisco 49ers,6,27,8,203,190,13,2,26,386,125,261,1
