Year,Week,Day,Date,Time,Scoretype,WL,Team,Opp,TmScore,OppScore,off_1stD,off_TotYd,off_ PassY,off_RushY,off_TO,def_1stD,def_TotYd,def_PassY,def_RushY,def_TO
2008,1,Sun,7-Sep,1:04PM ET,boxscore,W,Atlanta Falcons,Detroit Lions,34,21,23,474,156,318,,21,316,246,70,1
2008,2,Sun,14-Sep,4:05PM ET,boxscore,L,Atlanta Falcons,Tampa Bay Buccaneers,9,24,14,234,129,105,2,15,311,147,164,1
2008,3,Sun,21-Sep,1:02PM ET,boxscore,W,Atlanta Falcons,Kansas City Chiefs,38,14,16,378,192,186,1,17,301,117,184,3
2008,4,Sun,28-Sep,1:04PM ET,boxscore,L,Atlanta Falcons,Carolina Panthers,9,24,17,268,150,118,,19,401,294,107,
2008,5,Sun,5-Oct,1:02PM ET,boxscore,W,Atlanta Falcons,Green Bay Packers,27,24,22,370,194,176,1,21,408,304,104,1
2008,6,Sun,12-Oct,1:02PM ET,boxscore,W,Atlanta Falcons,Chicago Bears,22,20,18,376,301,75,1,22,361,282,79,1
2008,8,Sun,26-Oct,1:02PM ET,boxscore,L,Atlanta Falcons,Philadelphia Eagles,14,27,19,335,258,77,3,24,432,240,192,1
2008,9,Sun,2-Nov,4:15PM ET,boxscore,W,Atlanta Falcons,Oakland Raiders,24,0,30,453,201,252,1,3,77,10,67,2
2008,10,Sun,9-Nov,1:03PM ET,boxscore,W,Atlanta Falcons,New Orleans Saints,34,20,18,361,248,113,,25,521,416,105,3
2008,11,Sun,16-Nov,1:02PM ET,boxscore,L,Atlanta Falcons,Denver Broncos,20,24,20,364,250,114,1,19,332,208,124,
2008,12,Sun,23-Nov,4:15PM ET,boxscore,W,Atlanta Falcons,Carolina Panthers,45,28,21,392,259,133,1,22,408,274,134,
2008,13,Sun,30-Nov,4:05PM ET,boxscore,W,Atlanta Falcons,San Diego Chargers,22,16,20,348,207,141,3,12,201,131,70,
2008,14,Sun,7-Dec,1:02PM ET,boxscore,L,Atlanta Falcons,New Orleans Saints,25,29,22,414,315,99,1,24,414,230,184,
2008,15,Sun,14-Dec,1:03PM ET,boxscore,W,Atlanta Falcons,Tampa Bay Buccaneers,13,10,18,373,198,175,3,19,325,226,99,1
2008,16,Sun,21-Dec,4:15PM ET,boxscore,W,Atlanta Falcons,Minnesota Vikings,24,17,18,222,124,98,,24,350,195,155,4
2008,17,Sun,28-Dec,1:02PM ET,boxscore,W,Atlanta Falcons,St. Louis Rams,31,27,17,417,154,263,3,22,408,206,202,
