,,,,,,,,,,Score,,Offense,,,,,Defense,,,,,Expected Points,,
Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,8-Sep,1:04PM ET,boxscore,L,,0-1,,Seattle Seahawks,7,12,17,253,119,134,2,18,370,300,70,1,3.41,-2.56,-7.04
2,Sun,15-Sep,1:02PM ET,boxscore,L,,0-2,@,Buffalo Bills,23,24,25,308,183,125,1,24,436,287,149,2,-0.32,-8.72,7.39
3,Sun,22-Sep,1:03PM ET,boxscore,W,,2-Jan,,New York Giants,38,0,27,402,208,194,2,10,150,90,60,3,13.72,23.56,1.2
4,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
5,Sun,6-Oct,4:05PM ET,boxscore,L,,3-Jan,@,Arizona Cardinals,6,22,21,353,258,95,4,19,250,160,90,3,-18.28,8.23,-6.15
6,Sun,13-Oct,1:05PM ET,boxscore,W,,3-Feb,@,Minnesota Vikings,35,10,22,367,236,131,,17,290,215,75,2,22.96,5.46,-4.57
7,Sun,20-Oct,1:03PM ET,boxscore,W,,3-Mar,,St. Louis Rams,30,15,21,282,180,102,,15,317,254,63,3,3.35,13,-0.5
8,Thu,24-Oct,8:29PM ET,boxscore,W,,3-Apr,@,Tampa Bay Buccaneers,31,13,21,324,195,129,,19,297,249,48,1,11.11,6.74,-2.23
9,Sun,3-Nov,1:03PM ET,boxscore,W,,3-May,,Atlanta Falcons,34,10,27,373,242,131,2,12,289,211,78,4,12.95,14.39,-1.55
10,Sun,10-Nov,4:05PM ET,boxscore,W,,3-Jun,@,San Francisco 49ers,10,9,15,250,141,109,2,10,151,46,105,2,-9.9,22.93,-8.81
11,Mon,18-Nov,8:42PM ET,boxscore,W,,3-Jul,,New England Patriots,24,20,20,300,197,103,,28,390,283,107,2,17.75,-13.91,-0.63
12,Sun,24-Nov,1:03PM ET,boxscore,W,,3-Aug,@,Miami Dolphins,20,16,20,295,159,136,1,13,332,280,52,1,-3.88,5.54,3.71
13,Sun,1-Dec,1:04PM ET,boxscore,W,,3-Sep,,Tampa Bay Buccaneers,27,6,20,426,263,163,2,10,206,140,66,2,11.42,15.24,-0.49
14,Sun,8-Dec,8:30PM ET,boxscore,L,,4-Sep,@,New Orleans Saints,13,31,16,239,111,128,,24,373,304,69,,-2.1,-18.2,3.54
15,Sun,15-Dec,4:05PM ET,boxscore,W,,4-Oct,,New York Jets,30,20,21,392,261,131,,19,297,140,157,1,10.6,-0.43,2.56
16,Sun,22-Dec,1:04PM ET,boxscore,W,,4-Nov,,New Orleans Saints,17,13,10,222,141,81,1,20,365,239,126,2,-7.24,11.03,-2.62
17,Sun,29-Dec,1:05PM ET,boxscore,W,,4-Dec,@,Atlanta Falcons,21,20,16,283,149,134,2,20,307,231,76,1,1.85,1.88,-0.96
,,Playoffs,,,,,,,,,,,,,,,,,,,,,,
Division,Sun,12-Jan,1:05PM ET,boxscore,L,,5-Dec,,San Francisco 49ers,10,23,18,325,232,93,2,21,315,189,126,,2.72,-11.99,-1.23
