,,,,,,,,,,Score,,Offense,,,,,Defense,,,,,Expected Points,,
Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,12-Sep,1:02PM ET,boxscore,W,,Jan-00,,Detroit Lions,19,14,23,463,362,101,4,13,168,148,20,3,-8.47,21.59,-8.19
2,Sun,19-Sep,1:05PM ET,boxscore,W,,Feb-00,@,Dallas Cowboys,27,20,14,308,270,38,,23,410,374,36,3,4.53,1.44,1.69
3,Mon,27-Sep,8:40PM ET,boxscore,W,,Mar-00,,Green Bay Packers,20,17,18,276,199,77,1,21,379,316,63,2,3.87,-6.38,2.87
4,Sun,3-Oct,8:31PM ET,boxscore,L,,1-Mar,@,New York Giants,3,17,6,110,51,59,3,18,372,183,189,3,-32.75,8.11,6.51
5,Sun,10-Oct,1:03PM ET,boxscore,W,,1-Apr,@,Carolina Panthers,23,6,13,247,29,218,4,8,147,62,85,3,-18.71,31.86,1.39
6,Sun,17-Oct,1:02PM ET,boxscore,L,,2-Apr,,Seattle Seahawks,20,23,15,307,246,61,,20,353,242,111,,-0.98,-0.28,-3.21
7,Sun,24-Oct,1:04PM ET,boxscore,L,,3-Apr,,Washington Redskins,14,17,19,322,256,66,6,13,308,187,121,3,-24.7,20.61,1.8
8,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
9,Sun,7-Nov,1:02PM ET,boxscore,W,,3-May,@,Buffalo Bills,22,19,19,283,178,105,1,22,340,294,46,3,6.64,-1.06,0.45
10,Sun,14-Nov,1:02PM ET,boxscore,W,,3-Jun,,Minnesota Vikings,27,13,18,360,230,130,2,15,240,170,70,4,-0.06,13.86,0.17
11,Thu,18-Nov,8:29PM ET,boxscore,W,,3-Jul,@,Miami Dolphins,16,0,19,268,133,135,1,10,187,148,39,1,-4.54,16.2,0.32
12,Sun,28-Nov,4:15PM ET,boxscore,W,,3-Aug,,Philadelphia Eagles,31,26,18,349,218,131,,24,398,293,105,1,12.21,-6.3,-2.63
13,Sun,5-Dec,1:03PM ET,boxscore,W,,3-Sep,@,Detroit Lions,24,20,23,311,197,114,1,14,302,168,134,,9.47,-3.78,0.32
14,Sun,12-Dec,4:16PM ET,boxscore,L,,4-Sep,,New England Patriots,7,36,12,185,138,47,4,27,475,351,124,,-20.99,-17.55,8.57
15,Mon,20-Dec,8:40PM ET,boxscore,W,,4-Oct,@,Minnesota Vikings,40,14,17,293,189,104,1,16,273,159,114,5,-1.6,23.65,8.12
16,Sun,26-Dec,1:02PM ET,boxscore,W,,4-Nov,,New York Jets,38,34,16,322,202,120,1,24,393,269,124,2,7.4,-4.64,2.8
17,Sun,2-Jan,4:15PM ET,boxscore,L,,5-Nov,@,Green Bay Packers,3,10,13,227,117,110,2,14,284,224,60,2,-20.5,11.76,1.15
,,Playoffs,,,,,,,,,,,,,,,,,,,,,,
Division,Sun,16-Jan,1:05PM ET,boxscore,W,,5-Dec,,Seattle Seahawks,35,24,21,437,261,176,1,18,276,242,34,,9.41,1.27,0.31
Conf. Champ.,Sun,23-Jan,3:05PM ET,boxscore,L,,6-Dec,,Green Bay Packers,14,21,17,301,218,83,3,23,356,236,120,2,-13.69,2.63,3.73
