,,,,,,,,,,Score,,Offense,,,,,Defense,,,,,Expected Points,,
Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,13-Sep,4:25PM ET,boxscore,W,,Jan-00,@,Oakland Raiders,33,13,22,396,269,127,,16,246,183,63,2,13.4,8,-4.38
2,Sun,20-Sep,1:03PM ET,boxscore,W,,Feb-00,,San Diego Chargers,24,19,20,389,214,175,2,19,354,223,131,3,3.46,-2.55,4.52
3,Sun,27-Sep,1:02PM ET,boxscore,W,,Mar-00,@,Baltimore Ravens,28,24,23,458,372,86,2,19,398,362,36,1,8.92,-2.66,5.04
4,Sun,4-Oct,1:03PM ET,boxscore,W,,Apr-00,,Kansas City Chiefs,36,21,18,445,321,124,,24,461,348,113,1,23.79,-4.58,-5.41
5,Sun,11-Oct,1:03PM ET,boxscore,W,OT,May-00,,Seattle Seahawks,27,24,27,419,310,109,2,16,397,197,200,1,4.67,-4.91,3.24
6,Sun,18-Oct,1:02PM ET,boxscore,W,,Jun-00,@,Buffalo Bills,34,21,21,355,243,112,,22,368,256,112,1,16.07,-7.47,6.83
7,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
8,Sun,1-Nov,1:02PM ET,boxscore,W,,Jul-00,@,Pittsburgh Steelers,16,10,16,296,218,78,2,21,356,240,116,3,-6.97,3.33,4.09
9,Thu,5-Nov,8:25PM ET,boxscore,W,,Aug-00,,Cleveland Browns,31,10,23,371,219,152,,13,213,144,69,,20.53,4.99,-6.63
10,Mon,16-Nov,8:30PM ET,boxscore,L,,1-Aug,,Houston Texans,6,10,16,256,182,74,2,16,256,174,82,1,-8.48,5.18,0.67
11,Sun,22-Nov,8:30PM ET,boxscore,L,,2-Aug,@,Arizona Cardinals,31,34,24,377,278,99,1,21,383,301,82,2,10.32,-12.46,1.71
12,Sun,29-Nov,1:02PM ET,boxscore,W,,2-Sep,,St. Louis Rams,31,7,19,376,236,140,1,19,345,251,94,3,8.4,10.34,1.59
13,Sun,6-Dec,1:03PM ET,boxscore,W,,2-Oct,@,Cleveland Browns,37,3,20,377,233,144,,18,273,205,68,2,18.24,12.46,3.36
14,Sun,13-Dec,1:02PM ET,boxscore,L,,3-Oct,,Pittsburgh Steelers,20,33,22,385,321,64,3,22,354,270,84,1,1.42,-9.43,-6.74
15,Sun,20-Dec,4:25PM ET,boxscore,W,,3-Nov,@,San Francisco 49ers,24,14,14,242,174,68,1,17,318,263,55,4,-9.84,20.61,0.99
16,Mon,28-Dec,8:30PM ET,boxscore,L,OT,4-Nov,@,Denver Broncos,17,20,22,294,186,108,1,22,390,277,113,1,1.33,-8.23,0.93
17,Sun,3-Jan,1:02PM ET,boxscore,W,,4-Dec,,Baltimore Ravens,24,16,17,292,147,145,,22,341,282,59,2,2.5,7.44,1.74
,,Playoffs,,,,,,,,,,,,,,,,,,,,,,
Wild Card,Sat,9-Jan,8:15PM ET,boxscore,L,,5-Dec,,Pittsburgh Steelers,16,18,19,279,188,91,4,21,369,202,167,2,-10.48,4.17,3.85
