,,,,,,,,,,Score,,Offense,,,,,Defense,,,,,Expected Points,,
Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,11-Sep,1:06PM ET,boxscore,L,,0-1,,Cincinnati Bengals,17,27,17,285,202,83,1,17,294,155,139,,-10.45,-0.57,-2.08
2,Sun,18-Sep,1:02PM ET,boxscore,W,,1-Jan,@,Indianapolis Colts,27,19,18,303,197,106,1,19,285,176,109,2,3.08,5.72,1.17
3,Sun,25-Sep,1:02PM ET,boxscore,W,,1-Feb,,Miami Dolphins,17,16,19,280,210,70,1,22,369,231,138,2,3.87,-0.92,-1.81
4,Sun,2-Oct,1:03PM ET,boxscore,L,,2-Feb,,Tennessee Titans,13,31,25,416,332,84,1,13,332,220,112,1,-11.41,-6.97,2.7
5,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
6,Sun,16-Oct,4:05PM ET,boxscore,L,,3-Feb,@,Oakland Raiders,17,24,18,268,203,65,1,18,329,178,151,1,-6.2,-3,1.56
7,Sun,23-Oct,1:05PM ET,boxscore,W,,3-Mar,,Seattle Seahawks,6,3,20,298,159,139,1,9,137,69,68,2,-3.88,20.9,-8.3
8,Sun,30-Oct,4:15PM ET,boxscore,L,,4-Mar,@,San Francisco 49ers,10,20,18,290,224,66,2,19,348,174,174,,-1.63,-5.67,0.61
9,Sun,6-Nov,1:03PM ET,boxscore,L,,5-Mar,@,Houston Texans,12,30,10,172,128,44,2,21,380,119,261,1,-13.53,-13.76,6.68
10,Sun,13-Nov,1:03PM ET,boxscore,L,,6-Mar,,St. Louis Rams,12,13,16,335,209,126,1,17,281,148,133,2,-0.52,8.88,-7.86
11,Sun,20-Nov,1:02PM ET,boxscore,W,,6-Apr,,Jacksonville Jaguars,14,10,20,334,186,148,1,23,303,195,108,,8.69,-6.47,-2.23
12,Sun,27-Nov,1:02PM ET,boxscore,L,,7-Apr,@,Cincinnati Bengals,20,23,17,274,140,134,1,18,389,257,132,1,-4.6,-1.39,-2.24
13,Sun,4-Dec,4:05PM ET,boxscore,L,,8-Apr,,Baltimore Ravens,10,24,13,233,174,59,1,24,448,158,290,1,-11.66,-7.94,3.55
14,Thu,8-Dec,8:28PM ET,boxscore,L,,9-Apr,@,Pittsburgh Steelers,3,14,19,304,206,98,2,20,416,269,147,3,-11.17,0.1,0.09
15,Sun,18-Dec,4:15PM ET,boxscore,L,OT,10-Apr,@,Arizona Cardinals,17,20,16,333,213,120,1,24,363,289,74,1,-0.66,-5.22,3.95
16,Sat,24-Dec,1:03PM ET,boxscore,L,,11-Apr,@,Baltimore Ravens,14,20,18,256,139,117,1,15,284,122,162,1,-4.08,-3.31,5.14
17,Sun,1-Jan,4:16PM ET,boxscore,L,,12-Apr,,Pittsburgh Steelers,9,13,14,240,168,72,1,22,360,199,161,2,-9.98,2.16,6.56
