,,,,,,,,,,Score,,Offense,,,,,Defense,,,,,Expected Points,,
Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,10-Sep,8:30PM ET,boxscore,W,,Jan-00,,New York Giants,19,3,22,392,263,129,,13,233,198,35,1,10.62,5.48,-2.73
2,Sun,17-Sep,4:25PM ET,boxscore,L,,1-Jan,@,Denver Broncos,17,42,16,268,228,40,2,26,380,202,178,2,-21.83,-9.11,6.44
3,Mon,25-Sep,8:30PM ET,boxscore,W,,1-Feb,@,Arizona Cardinals,28,17,15,273,174,99,,22,332,283,49,,8.02,-3.02,5.45
4,Sun,1-Oct,1:00PM ET,boxscore,L,,2-Feb,,Los Angeles Rams,30,35,22,440,251,189,2,24,412,244,168,,14.94,-13.53,-9.26
5,Sun,8-Oct,4:25PM ET,boxscore,L,,3-Feb,,Green Bay Packers,31,35,26,408,245,163,3,25,342,182,160,1,19.13,-23.19,2.23
6,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
7,Sun,22-Oct,4:05PM ET,boxscore,W,,3-Mar,@,San Francisco 49ers,40,10,27,501,236,265,,23,290,187,103,3,28.6,7.8,-0.96
8,Sun,29-Oct,4:25PM ET,boxscore,W,,3-Apr,@,Washington Redskins,33,19,18,307,138,169,1,16,285,236,49,3,-2.02,2.45,12.19
9,Sun,5-Nov,4:25PM ET,boxscore,W,,3-May,,Kansas City Chiefs,28,17,24,375,244,131,,17,323,255,68,1,19.63,-4.76,-5.67
10,Sun,12-Nov,4:25PM ET,boxscore,L,,4-May,@,Atlanta Falcons,7,27,18,233,126,107,2,22,336,204,132,1,-9.4,-7.61,-2.02
11,Sun,19-Nov,8:30PM ET,boxscore,L,,5-May,,Philadelphia Eagles,9,37,14,225,113,112,4,17,383,168,215,,-23.68,-15.09,12.66
12,Thu,23-Nov,4:30PM ET,boxscore,L,,6-May,,Los Angeles Chargers,6,28,14,247,168,79,2,25,515,434,81,,-9.49,-26.42,11.7
13,Thu,30-Nov,8:25PM ET,boxscore,W,,6-Jun,,Washington Redskins,38,14,21,275,93,182,,15,280,224,56,4,7.94,4.45,8.49
14,Sun,10-Dec,1:00PM ET,boxscore,W,,6-Jul,@,New York Giants,30,10,19,454,332,122,,21,330,228,102,2,18.33,4.71,-5.19
15,Sun,17-Dec,8:30PM ET,boxscore,W,,6-Aug,@,Oakland Raiders,20,17,21,330,204,126,2,19,293,171,122,1,6.11,-5.2,2.88
16,Sun,24-Dec,4:25PM ET,boxscore,L,,7-Aug,,Seattle Seahawks,12,21,21,282,154,128,3,15,136,60,76,,-7.97,5.32,-6.11
17,Sun,31-Dec,1:00PM ET,boxscore,W,,7-Sep,@,Philadelphia Eagles,6,0,16,301,172,129,1,12,219,149,70,2,-6.53,16.51,-5.76
