,,,,,,,,,,Score,,Offense,,,,,Defense,,,,,Expected Points,,
Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,12-Sep,1:03PM ET,boxscore,L,,0-1,@,Jacksonville Jaguars,17,24,21,363,274,89,2,18,299,165,134,,1.46,-9.17,-0.44
2,Sun,19-Sep,4:06PM ET,boxscore,W,,1-Jan,,Seattle Seahawks,31,14,23,369,304,65,,17,339,230,109,4,17.46,-1.8,0.36
3,Sun,26-Sep,4:16PM ET,boxscore,L,,2-Jan,,Indianapolis Colts,13,27,23,519,472,47,2,18,365,325,40,,0.04,-7.39,-4.39
4,Sun,3-Oct,1:02PM ET,boxscore,W,,2-Feb,@,Tennessee Titans,26,20,22,327,308,19,1,13,288,167,121,2,-0.74,3.64,5.34
5,Sun,10-Oct,1:02PM ET,boxscore,L,,3-Feb,@,Baltimore Ravens,17,31,16,346,307,39,1,28,415,182,233,,5.73,-17.15,-3.93
6,Sun,17-Oct,4:05PM ET,boxscore,L,,4-Feb,,New York Jets,20,24,21,346,201,145,2,17,319,190,129,3,-6.79,0.46,0.29
7,Sun,24-Oct,4:15PM ET,boxscore,L,,5-Feb,,Oakland Raiders,14,59,11,240,165,75,3,29,508,180,328,,-22.25,-28.65,7.5
8,Sun,31-Oct,1:07PM ET,boxscore,L,,6-Feb,@,San Francisco 49ers,16,24,22,398,339,59,2,16,339,196,143,,2.57,-6.7,-3.21
9,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
10,Sun,14-Nov,4:05PM ET,boxscore,W,,6-Mar,,Kansas City Chiefs,49,29,25,452,299,153,,30,484,433,51,1,26.2,-6.29,1.01
11,Mon,22-Nov,8:40PM ET,boxscore,L,,7-Mar,@,San Diego Chargers,14,35,16,235,172,63,1,21,400,253,147,1,-9.41,-19.31,6.31
12,Sun,28-Nov,4:16PM ET,boxscore,L,,8-Mar,,St. Louis Rams,33,36,24,449,330,119,2,24,431,308,123,,10.59,-15.18,-0.18
13,Sun,5-Dec,1:03PM ET,boxscore,L,,9-Mar,@,Kansas City Chiefs,6,10,13,247,86,161,1,21,359,174,185,1,-9.46,3.22,3.72
14,Sun,12-Dec,4:15PM ET,boxscore,L,,10-Mar,@,Arizona Cardinals,13,43,20,288,156,132,6,21,357,146,211,1,-33.81,1.17,3.43
15,Sun,19-Dec,4:15PM ET,boxscore,L,,11-Mar,@,Oakland Raiders,23,39,9,235,129,106,1,20,502,238,264,3,-6.73,-4.3,-5.07
16,Sun,26-Dec,4:06PM ET,boxscore,W,,11-Apr,,Houston Texans,24,23,25,431,305,126,1,21,401,310,91,1,14.14,-9.19,-4.78
17,Sun,2-Jan,4:15PM ET,boxscore,L,,12-Apr,,San Diego Chargers,28,33,18,337,191,146,2,20,447,283,164,1,-4.18,-6.5,5.35
