,,,,,,,,,,Score,,Offense,,,,,Defense,,,,,Expected Points,,
Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,13-Sep,1:03PM ET,boxscore,L,,0-1,,Carolina Panthers,9,20,18,265,169,96,3,17,263,158,105,1,-18.45,5.98,-0.05
2,Sun,20-Sep,4:05PM ET,boxscore,W,,1-Jan,,Miami Dolphins,23,20,19,396,273,123,,17,386,344,42,,8.53,-3.03,0.47
3,Sun,27-Sep,1:06PM ET,boxscore,L,,2-Jan,@,New England Patriots,17,51,15,293,236,57,1,35,471,346,125,,0.6,-36.41,2.35
4,Sun,4-Oct,1:02PM ET,boxscore,L,OT,3-Jan,@,Indianapolis Colts,13,16,21,431,289,142,,22,326,266,60,2,3.23,3.57,-8.66
5,Sun,11-Oct,1:02PM ET,boxscore,L,,4-Jan,@,Tampa Bay Buccaneers,31,38,21,325,270,55,2,20,369,186,183,,7.59,-12.48,-3.92
6,Sun,18-Oct,1:02PM ET,boxscore,L,,5-Jan,,Houston Texans,20,31,26,394,311,83,3,24,382,287,95,,1.46,-11.14,-1.3
7,Sun,25-Oct,8:35AM ET,boxscore,W,,5-Feb,,Buffalo Bills,34,31,17,295,175,120,1,26,375,260,115,4,-5.82,12.44,-2.68
8,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
9,Sun,8-Nov,1:02PM ET,boxscore,L,,6-Feb,@,New York Jets,23,28,19,436,338,98,4,14,290,261,29,,0.67,-0.91,-7.08
10,Sun,15-Nov,1:05PM ET,boxscore,W,,6-Mar,@,Baltimore Ravens,22,20,22,258,168,90,1,22,397,308,89,4,-3.24,-1.13,8.43
11,Thu,19-Nov,8:26PM ET,boxscore,W,,6-Apr,,Tennessee Titans,19,13,18,308,218,90,2,22,316,212,104,1,-4.03,-0.45,6.8
12,Sun,29-Nov,1:03PM ET,boxscore,L,,7-Apr,,San Diego Chargers,25,31,20,420,318,102,1,24,369,290,79,,3.32,-10.91,-0.5
13,Sun,6-Dec,1:02PM ET,boxscore,L,,8-Apr,@,Tennessee Titans,39,42,20,383,302,81,1,26,467,257,210,2,12.41,-22.28,0.88
14,Sun,13-Dec,1:02PM ET,boxscore,W,,8-May,,Indianapolis Colts,51,16,24,380,226,154,2,17,322,227,95,2,5.18,25.05,4.24
15,Sun,20-Dec,1:02PM ET,boxscore,L,,9-May,,Atlanta Falcons,17,23,21,370,285,85,1,22,328,245,83,1,-4.39,-3.13,0.17
16,Sun,27-Dec,4:05PM ET,boxscore,L,,10-May,@,New Orleans Saints,27,38,21,412,347,65,2,29,537,402,135,,12.67,-32.88,10.23
17,Sun,3-Jan,1:02PM ET,boxscore,L,,11-May,@,Houston Texans,6,30,11,215,183,32,4,25,402,242,160,1,-28.17,-1.18,4.68
