,,,,,,,,,,Score,,Offense,,,,,Defense,,,,,Expected Points,,
Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Mon,13-Sep,10:20PM ET,boxscore,W,,Jan-00,,San Diego Chargers,21,14,9,197,62,135,,18,389,280,109,1,-10.51,7.11,9.23
2,Sun,19-Sep,1:02PM ET,boxscore,W,,Feb-00,@,Cleveland Browns,16,14,16,312,172,140,2,13,299,226,73,2,-6.03,12.79,-1.2
3,Sun,26-Sep,1:04PM ET,boxscore,W,,Mar-00,,San Francisco 49ers,31,10,21,457,250,207,1,11,251,208,43,1,14.03,12.81,-5.84
4,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
5,Sun,10-Oct,1:03PM ET,boxscore,L,,1-Mar,@,Indianapolis Colts,9,19,16,261,148,113,1,23,341,244,97,1,-6.24,-1.18,-2.67
6,Sun,17-Oct,1:03PM ET,boxscore,L,,2-Mar,@,Houston Texans,31,35,25,417,189,228,,23,421,289,132,,21.9,-24.02,-1.12
7,Sun,24-Oct,1:03PM ET,boxscore,W,,2-Apr,,Jacksonville Jaguars,42,20,25,426,190,236,,19,300,216,84,3,22.78,-1.77,-0.44
8,Sun,31-Oct,1:08PM ET,boxscore,W,OT,2-May,,Buffalo Bills,13,10,24,414,140,274,,23,328,191,137,1,3.39,8.39,-6.68
9,Sun,7-Nov,4:15PM ET,boxscore,L,OT,3-May,@,Oakland Raiders,20,23,21,304,200,104,2,17,321,209,112,3,-8.93,10.86,-2.4
10,Sun,14-Nov,4:05PM ET,boxscore,L,,4-May,@,Denver Broncos,29,49,30,484,433,51,1,25,452,299,153,,6.29,-26.2,-1.01
11,Sun,21-Nov,1:03PM ET,boxscore,W,,4-Jun,,Arizona Cardinals,31,13,17,352,193,159,,19,382,281,101,,15.83,1.92,0.63
12,Sun,28-Nov,4:06PM ET,boxscore,W,,4-Jul,@,Seattle Seahawks,42,24,28,503,233,270,1,13,288,268,20,3,21.74,12.85,-14.1
13,Sun,5-Dec,1:03PM ET,boxscore,W,,4-Aug,,Denver Broncos,10,6,21,359,174,185,1,13,247,86,161,1,-3.22,9.46,-3.72
14,Sun,12-Dec,4:15PM ET,boxscore,L,,5-Aug,@,San Diego Chargers,0,31,5,67,19,48,,25,426,219,207,2,-19.46,-17.07,3.11
15,Sun,19-Dec,1:00PM ET,boxscore,W,,5-Sep,@,St. Louis Rams,27,13,21,383,173,210,1,14,224,155,69,2,0.86,14.88,-3.39
16,Sun,26-Dec,1:03PM ET,boxscore,W,,5-Oct,,Tennessee Titans,34,14,23,458,306,152,2,16,270,213,57,2,6.47,14.59,-4.17
17,Sun,2-Jan,1:02PM ET,boxscore,L,,6-Oct,,Oakland Raiders,10,31,17,201,86,115,2,21,344,135,209,1,-21.46,-2.8,5.42
,,Playoffs,,,,,,,,,,,,,,,,,,,,,,
Wild Card,Sun,9-Jan,1:06PM ET,boxscore,L,,7-Oct,,Baltimore Ravens,7,30,8,161,53,108,5,26,390,248,142,2,-14.72,-10.99,2.32
