,,,,,,,,,,Score,,Offense,,,,,Defense,,,,,Expected Points,,
Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,7-Sep,4:15PM ET,boxscore,L,,0-1,,Carolina Panthers,24,26,17,316,211,105,1,20,388,246,142,1,3.02,-1.7,-3.78
2,Sun,14-Sep,4:15PM ET,boxscore,L,,0-2,@,Denver Broncos,38,39,19,456,376,80,1,34,486,341,145,1,22.51,-26.3,5.61
3,Mon,22-Sep,8:40PM ET,boxscore,W,,2-Jan,,New York Jets,48,29,20,357,250,107,1,21,308,267,41,4,15.32,14.28,-10.49
4,Sun,28-Sep,4:05PM ET,boxscore,W,,2-Feb,@,Oakland Raiders,28,18,18,295,154,141,2,15,323,251,72,2,-0.91,18.04,-6.47
5,Sun,5-Oct,1:03PM ET,boxscore,L,,3-Feb,@,Miami Dolphins,10,17,10,202,142,60,,23,390,223,167,1,-9.7,-14.95,13.74
6,Sun,12-Oct,8:20PM ET,boxscore,W,,3-Mar,,New England Patriots,30,10,19,404,306,98,1,18,299,193,106,1,12.52,8.42,-3.21
7,Sun,19-Oct,1:02PM ET,boxscore,L,,4-Mar,@,Buffalo Bills,14,23,15,263,191,72,3,22,370,261,109,,-3.32,-9.86,1.53
8,Sun,26-Oct,1:06PM ET,boxscore,L,,5-Mar,@,New Orleans Saints,32,37,22,451,341,110,2,28,409,339,70,,16.57,-28.32,7.61
9,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
10,Sun,9-Nov,4:15PM ET,boxscore,W,,5-Apr,,Kansas City Chiefs,20,19,23,400,308,92,2,19,339,263,76,,10.34,-11.82,1.53
11,Sun,16-Nov,4:16PM ET,boxscore,L,,6-Apr,@,Pittsburgh Steelers,10,11,16,218,152,66,2,24,410,286,124,,-3.2,-4.33,7.01
12,Sun,23-Nov,8:20PM ET,boxscore,L,,7-Apr,,Indianapolis Colts,20,23,21,394,274,120,1,19,341,250,91,1,11.6,-12.32,-0.59
13,Sun,30-Nov,4:05PM ET,boxscore,L,,8-Apr,,Atlanta Falcons,16,22,12,201,131,70,,20,348,207,141,3,-5.63,3.52,-3.99
14,Thu,4-Dec,8:15PM ET,boxscore,W,,8-May,,Oakland Raiders,34,7,18,372,214,158,1,9,163,109,54,4,12.94,31.08,-14.37
15,Sun,14-Dec,1:00PM ET,boxscore,W,,8-Jun,@,Kansas City Chiefs,22,21,22,394,326,68,3,22,277,175,102,2,-7.35,-2.73,13.34
16,Sun,21-Dec,1:02PM ET,boxscore,W,,8-Jul,@,Tampa Bay Buccaneers,41,24,8,370,280,90,,20,342,231,111,3,15.65,5.74,-4.78
17,Sun,28-Dec,8:23PM ET,boxscore,W,,8-Aug,,Denver Broncos,52,21,28,491,202,289,,25,406,316,90,2,38.95,-10.41,-0.56
,,Playoffs,,,,,,,,,,,,,,,,,,,,,,
Wild Card,Sat,3-Jan,8:08PM ET,boxscore,W,OT,8-Sep,,Indianapolis Colts,23,17,26,357,190,167,2,17,366,302,64,,2.79,-3.62,7.97
Division,Sun,11-Jan,4:45PM ET,boxscore,L,,9-Sep,@,Pittsburgh Steelers,24,35,15,290,275,15,2,22,342,177,165,,0.97,-6.27,-5.12
