,,,,,,,,,,Score,,Offense,,,,,Defense,,,,,Expected Points,,
Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,9-Sep,1:03PM ET,boxscore,L,,0-1,@,Detroit Lions,23,27,14,250,173,77,,28,429,346,83,3,-3.64,-1.32,1.62
2,Sun,16-Sep,4:05PM ET,boxscore,W,,1-Jan,,Washington Redskins,31,28,23,452,301,151,3,18,373,197,176,1,3.93,-7.11,4.81
3,Sun,23-Sep,1:04PM ET,boxscore,L,,2-Jan,@,Chicago Bears,6,23,12,160,101,59,2,20,274,171,103,1,-21.86,7.19,-2.34
4,Sun,30-Sep,1:00PM ET,boxscore,W,,2-Feb,,Seattle Seahawks,19,13,15,286,211,75,1,19,319,140,179,3,-3.82,6.87,2.06
5,Thu,4-Oct,8:20PM ET,boxscore,W,,2-Mar,,Arizona Cardinals,17,3,12,242,131,111,1,20,282,237,45,1,-8.85,14.6,7.85
6,Sun,14-Oct,1:00PM ET,boxscore,L,,3-Mar,@,Miami Dolphins,14,17,22,462,300,162,1,12,192,156,36,,11.83,0.49,-17.97
7,Sun,21-Oct,1:00PM ET,boxscore,L,,4-Mar,,Green Bay Packers,20,30,19,354,246,108,1,22,402,332,70,,6.08,-16.12,2.56
8,Sun,28-Oct,1:06PM ET,boxscore,L,,5-Mar,,New England Patriots,7,45,17,326,219,107,2,29,473,321,152,,-8.19,-32.61,3.51
9,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
10,Sun,11-Nov,4:25PM ET,boxscore,T,OT,3/5/2001,@,San Francisco 49ers,24,24,27,458,299,159,1,25,341,158,183,,17.12,-9.53,-4.71
11,Sun,18-Nov,1:00PM ET,boxscore,L,,3/6/2001,,New York Jets,13,27,15,281,167,114,3,17,289,165,124,,-15.91,-1.53,2.26
12,Sun,25-Nov,4:25PM ET,boxscore,W,,4/6/2001,@,Arizona Cardinals,31,17,15,367,194,173,1,24,375,301,74,4,1.82,17.62,-6.29
13,Sun,2-Dec,1:00PM ET,boxscore,W,OT,5/6/2001,,San Francisco 49ers,16,13,16,293,208,85,,18,339,191,148,1,-11.73,11.85,4.41
14,Sun,9-Dec,1:02PM ET,boxscore,W,,6/6/2001,@,Buffalo Bills,15,12,17,285,207,78,1,17,281,220,61,2,-1.1,8.74,0.72
15,Sun,16-Dec,1:00PM ET,boxscore,L,,6/7/2001,,Minnesota Vikings,22,36,29,432,345,87,2,18,322,109,213,,2.11,-4.37,-10.09
16,Sun,23-Dec,1:03PM ET,boxscore,W,,7/7/2001,@,Tampa Bay Buccaneers,28,13,14,285,196,89,2,23,429,349,80,5,-0.1,13.77,2.8
17,Sun,30-Dec,4:26PM ET,boxscore,L,,7/8/2001,@,Seattle Seahawks,13,20,20,331,252,79,1,17,362,209,153,,4.43,-9.81,-1.76
