,,,,,,,,,,Score,,Offense,,,,,Defense,,,,,Expected Points,,
Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,9-Sep,1:03PM ET,boxscore,L,,0-1,@,Houston Texans,10,30,15,275,199,76,4,19,337,254,83,,-28.02,-5.26,13.73
2,Sun,16-Sep,1:02PM ET,boxscore,W,,1-Jan,,Oakland Raiders,35,13,24,452,189,263,,18,396,373,23,1,20.54,2.02,2.33
3,Sun,23-Sep,1:03PM ET,boxscore,L,OT,2-Jan,,New York Jets,20,23,23,381,196,185,2,21,388,295,93,2,-1.11,3.14,-3.3
4,Sun,30-Sep,4:05PM ET,boxscore,L,OT,3-Jan,@,Arizona Cardinals,21,24,21,480,394,86,4,19,297,269,28,2,-1.83,10.41,-14.11
5,Sun,7-Oct,1:03PM ET,boxscore,W,,3-Feb,@,Cincinnati Bengals,17,13,15,279,211,68,2,18,298,218,80,3,-6.94,11.99,-2.98
6,Sun,14-Oct,1:00PM ET,boxscore,W,,3-Mar,,St. Louis Rams,17,14,12,192,156,36,,22,462,300,162,1,-0.49,-11.83,17.97
7,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
8,Sun,28-Oct,1:06PM ET,boxscore,W,,3-Apr,@,New York Jets,30,9,14,236,139,97,1,22,363,258,105,2,-7.89,10.25,16.42
9,Sun,4-Nov,1:02PM ET,boxscore,L,,4-Apr,@,Indianapolis Colts,20,23,20,365,281,84,,27,516,419,97,,7.11,-22.88,9.19
10,Sun,11-Nov,1:03PM ET,boxscore,L,,5-Apr,,Tennessee Titans,3,37,13,255,201,54,4,17,293,116,177,,-26,-4.43,-3.39
11,Thu,15-Nov,8:29PM ET,boxscore,L,,6-Apr,@,Buffalo Bills,14,19,16,184,124,60,3,18,281,161,120,,-10.42,1.11,2.33
12,Sun,25-Nov,1:03PM ET,boxscore,W,,6-May,,Seattle Seahawks,24,21,23,435,246,189,1,16,312,216,96,,17.25,-5.06,-9.65
13,Sun,2-Dec,1:02PM ET,boxscore,L,,7-May,,New England Patriots,16,23,15,277,176,101,1,25,321,213,108,1,-6.58,-0.35,-1.26
14,Sun,9-Dec,4:05PM ET,boxscore,L,,8-May,@,San Francisco 49ers,13,27,17,227,133,94,1,20,321,166,155,,-3.94,-10.18,-0.34
15,Sun,16-Dec,1:03PM ET,boxscore,W,,8-Jun,,Jacksonville Jaguars,24,3,26,389,209,180,1,13,299,213,86,,12.45,8.45,-2.26
16,Sun,23-Dec,1:02PM ET,boxscore,W,,8-Jul,,Buffalo Bills,24,10,18,301,119,182,,17,381,227,154,4,8.21,7.95,-2
17,Sun,30-Dec,4:25PM ET,boxscore,L,,9-Jul,@,New England Patriots,0,28,16,256,209,47,2,28,443,276,167,,-11.12,-17.21,1.74
