,,,,,,,,,,Score,,Offense,,,,,Defense,,,,,Expected Points,,
Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,12-Sep,1:02PM ET,boxscore,W,,Jan-00,,Cincinnati Bengals,38,24,20,376,258,118,,26,428,341,87,2,15.94,-10.45,-0.01
2,Sun,19-Sep,4:16PM ET,boxscore,L,,1-Jan,@,New York Jets,14,28,20,291,239,52,3,23,336,200,136,,3.86,-15.8,-1.6
3,Sun,26-Sep,1:02PM ET,boxscore,W,,1-Feb,,Buffalo Bills,38,30,25,445,245,200,1,19,374,240,134,2,21.85,-8.05,-4.21
4,Mon,4-Oct,8:41PM ET,boxscore,W,,1-Mar,@,Miami Dolphins,41,14,19,265,146,119,,23,400,308,92,4,6.85,3.7,16.32
5,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
6,Sun,17-Oct,1:02PM ET,boxscore,W,OT,1-Apr,,Baltimore Ravens,23,20,23,394,267,127,2,21,377,278,99,,0.03,-3.94,4.2
7,Sun,24-Oct,4:15PM ET,boxscore,W,,1-May,@,San Diego Chargers,23,20,15,179,128,51,,23,363,325,38,4,-4.8,5.76,3.61
8,Sun,31-Oct,4:15PM ET,boxscore,W,,1-Jun,,Minnesota Vikings,28,18,18,362,240,122,,23,410,285,125,1,16.12,-5.41,-3.1
9,Sun,7-Nov,1:02PM ET,boxscore,L,,2-Jun,@,Cleveland Browns,14,34,19,283,215,68,3,22,404,174,230,1,1.33,-16.31,-5.16
10,Sun,14-Nov,8:30PM ET,boxscore,W,,2-Jul,@,Pittsburgh Steelers,39,26,26,453,350,103,,27,425,349,76,1,15.6,-10.29,2.65
11,Sun,21-Nov,4:15PM ET,boxscore,W,,2-Aug,,Indianapolis Colts,31,28,22,346,178,168,,28,467,396,71,3,18.18,-20.15,4.02
12,Thu,25-Nov,12:38PM ET,boxscore,W,,2-Sep,@,Detroit Lions,45,24,20,447,338,109,,25,406,277,129,2,28.1,-6.23,-2.52
13,Mon,6-Dec,8:40PM ET,boxscore,W,,2-Oct,,New York Jets,45,3,23,405,304,101,,18,301,149,152,3,27.83,10.55,0.14
14,Sun,12-Dec,4:16PM ET,boxscore,W,,2-Nov,@,Chicago Bears,36,7,27,475,351,124,,12,185,138,47,4,17.55,20.99,-8.57
15,Sun,19-Dec,8:30PM ET,boxscore,W,,2-Dec,,Green Bay Packers,31,27,14,249,136,113,,26,369,226,143,2,5.47,-4.98,2.86
16,Sun,26-Dec,1:02PM ET,boxscore,W,,13-2,@,Buffalo Bills,34,3,20,348,131,217,,16,369,244,125,7,4.47,21.5,4.8
17,Sun,2-Jan,1:02PM ET,boxscore,W,,14-2,,Miami Dolphins,38,7,24,502,321,181,1,16,250,206,44,2,17.17,8.56,4.99
,,Playoffs,,,,,,,,,,,,,,,,,,,,,,
Division,Sun,16-Jan,4:40PM ET,boxscore,L,,14-3,,New York Jets,21,28,26,372,259,113,1,14,314,194,120,,-5.26,-10.32,5.3
