,,,,,,,,,,Score,,Offense,,,,,Defense,,,,,Expected Points,,
Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,9-Sep,1:03PM ET,boxscore,L,,0-1,,Washington Redskins,32,40,24,358,326,32,3,22,459,306,153,,1.68,-14.09,5.25
2,Sun,16-Sep,1:03PM ET,boxscore,L,,0-2,@,Carolina Panthers,27,35,27,486,323,163,2,23,463,244,219,1,8.77,-18.54,0.58
3,Sun,23-Sep,1:02PM ET,boxscore,L,OT,0-3,,Kansas City Chiefs,24,27,14,288,205,83,1,27,510,237,273,3,-1.18,1.14,-1.17
4,Sun,30-Sep,4:25PM ET,boxscore,L,,0-4,@,Green Bay Packers,27,28,25,474,429,45,,30,421,319,102,2,18.01,-19.25,-0.23
5,Sun,7-Oct,8:31PM ET,boxscore,W,,4-Jan,,San Diego Chargers,31,24,21,404,351,53,1,27,427,310,117,2,11.97,-9.44,3.72
6,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
7,Sun,21-Oct,1:02PM ET,boxscore,W,,4-Feb,@,Tampa Bay Buccaneers,35,28,23,458,377,81,1,26,513,411,102,,21.67,-23.78,4.36
8,Sun,28-Oct,8:30PM ET,boxscore,L,,5-Feb,@,Denver Broncos,14,34,14,252,201,51,1,29,530,305,225,1,-3.84,-18.32,1.31
9,Mon,5-Nov,8:40PM ET,boxscore,W,,5-Mar,,Philadelphia Eagles,28,13,20,371,231,140,2,24,447,226,221,2,14.02,6.47,-6.04
10,Sun,11-Nov,1:02PM ET,boxscore,W,,5-Apr,,Atlanta Falcons,31,27,21,440,292,148,1,25,454,408,46,1,14.59,-11.41,3.69
11,Sun,18-Nov,4:05PM ET,boxscore,W,,5-May,@,Oakland Raiders,38,17,19,380,229,151,,24,404,284,120,2,18.98,3.48,1.97
12,Sun,25-Nov,4:25PM ET,boxscore,L,,6-May,,San Francisco 49ers,21,31,19,290,231,59,2,18,375,231,144,2,-15.81,-5.41,13.01
13,Thu,29-Nov,8:29PM ET,boxscore,L,,7-May,@,Atlanta Falcons,13,23,24,436,335,101,5,15,283,159,124,1,-5.03,6.68,-5.49
14,Sun,9-Dec,4:26PM ET,boxscore,L,,8-May,@,New York Giants,27,52,22,487,345,142,4,24,394,259,135,2,-8.32,-5.86,-10.46
15,Sun,16-Dec,1:03PM ET,boxscore,W,,8-Jun,,Tampa Bay Buccaneers,41,0,24,447,298,149,,20,386,319,67,5,21.79,17.29,-1.51
16,Sun,23-Dec,1:02PM ET,boxscore,W,OT,8-Jul,@,Dallas Cowboys,34,31,33,562,446,116,,18,446,406,40,1,27.29,-12.45,-12.18
17,Sun,30-Dec,1:03PM ET,boxscore,L,,9-Jul,,Carolina Panthers,38,44,22,441,378,63,1,28,530,257,273,1,18.31,-21.5,-7.96
