,,,,,,,,,,Score,,Offense,,,,,Defense,,,,,Expected Points,,
Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,12-Sep,1:04PM ET,boxscore,W,,Jan-00,,Carolina Panthers,31,18,21,376,258,118,4,14,237,148,89,5,0.3,21.07,-5.91
2,Sun,19-Sep,8:31PM ET,boxscore,L,,1-Jan,@,Indianapolis Colts,14,38,13,257,137,120,3,24,410,250,160,1,-10.96,-10.63,1.38
3,Sun,26-Sep,1:02PM ET,boxscore,L,,2-Jan,,Tennessee Titans,10,29,26,471,364,107,3,17,271,110,161,,2.36,-5.04,-10.79
4,Sun,3-Oct,8:31PM ET,boxscore,W,,2-Feb,,Chicago Bears,17,3,18,372,183,189,3,6,110,51,59,3,-8.11,32.75,-6.51
5,Sun,10-Oct,1:03PM ET,boxscore,W,,2-Mar,@,Houston Texans,34,10,26,414,297,117,2,11,195,171,24,2,6.57,17.85,1.65
6,Sun,17-Oct,1:03PM ET,boxscore,W,,2-Apr,,Detroit Lions,28,20,24,334,167,167,1,16,366,302,64,3,8.98,5.29,-4.56
7,Mon,25-Oct,8:41PM ET,boxscore,W,,2-May,@,Dallas Cowboys,41,35,25,497,297,200,5,14,254,213,41,2,0.74,13.44,-2.02
8,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
9,Sun,7-Nov,4:05PM ET,boxscore,W,,2-Jun,@,Seattle Seahawks,41,7,30,487,290,197,1,8,162,113,49,3,19.37,14.24,1.79
10,Sun,14-Nov,4:15PM ET,boxscore,L,,3-Jun,,Dallas Cowboys,20,33,25,480,373,107,3,15,427,327,100,1,-7.94,-10.75,5.24
11,Sun,21-Nov,8:30PM ET,boxscore,L,,4-Jun,@,Philadelphia Eagles,17,27,13,208,147,61,5,17,392,244,148,2,-9.75,-4.49,3.99
12,Sun,28-Nov,1:02PM ET,boxscore,W,,4-Jul,,Jacksonville Jaguars,24,20,17,361,226,135,,26,328,121,207,2,11.07,-3.97,-0.45
13,Sun,5-Dec,1:02PM ET,boxscore,W,,4-Aug,,Washington Redskins,31,7,22,358,161,197,1,19,338,264,74,6,4.4,17.03,1.49
14,Mon,13-Dec,7:20PM ET,boxscore,W,,4-Sep,@,Minnesota Vikings,21,3,21,395,182,213,2,10,164,103,61,1,2.04,20.76,-9.8
15,Sun,19-Dec,1:03PM ET,boxscore,L,,5-Sep,,Philadelphia Eagles,31,38,20,364,264,100,2,19,418,221,197,3,1.89,-2.33,-7.35
16,Sun,26-Dec,4:15PM ET,boxscore,L,,6-Sep,@,Green Bay Packers,17,45,16,386,296,90,6,27,515,396,119,1,-4.1,-25.64,4.56
17,Sun,2-Jan,4:16PM ET,boxscore,W,,6-Oct,@,Washington Redskins,17,14,14,325,243,82,1,20,385,318,67,4,-4.38,9.21,-0.66
