,,,,,,,,,,Score,,Offense,,,,,Defense,,,,,Expected Points,,
Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,8-Sep,1:02PM ET,boxscore,L,,0-1,@,Indianapolis Colts,17,21,20,372,201,171,2,18,274,147,127,,11.48,-10.93,-4.41
2,Sun,15-Sep,4:25PM ET,boxscore,W,,1-Jan,,Jacksonville Jaguars,19,9,16,340,114,226,1,15,248,214,34,,-1.25,6.46,3.87
3,Mon,23-Sep,8:40PM ET,boxscore,L,,2-Jan,@,Denver Broncos,21,37,13,342,293,49,,31,536,372,164,2,4.12,-19.35,-1.63
4,Sun,29-Sep,4:25PM ET,boxscore,L,,3-Jan,,Washington Redskins,14,24,14,298,194,104,3,15,339,217,122,1,-17.99,5.46,4.33
5,Sun,6-Oct,11:35PM ET,boxscore,W,,3-Feb,,San Diego Chargers,27,17,17,299,195,104,,27,427,391,36,5,2.09,2.15,5.26
6,Sun,13-Oct,1:02PM ET,boxscore,L,,4-Feb,@,Kansas City Chiefs,7,24,18,274,153,121,3,16,216,105,111,1,-21.73,9.7,-1.64
7,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
8,Sun,27-Oct,4:05PM ET,boxscore,W,,4-Mar,,Pittsburgh Steelers,21,18,13,279,82,197,3,20,276,241,35,2,-10.73,5.57,6.69
9,Sun,3-Nov,4:05PM ET,boxscore,L,,5-Mar,,Philadelphia Eagles,20,49,29,560,350,210,2,21,542,418,124,,1.26,-29.78,0.36
10,Sun,10-Nov,1:03PM ET,boxscore,L,,6-Mar,@,New York Giants,20,24,12,213,106,107,2,19,251,118,133,3,-21.11,8.05,6.39
11,Sun,17-Nov,1:03PM ET,boxscore,W,,6-Apr,@,Houston Texans,28,23,12,341,176,165,,14,394,304,90,2,-4.55,14.44,-7.68
12,Sun,24-Nov,4:05PM ET,boxscore,L,,7-Apr,,Tennessee Titans,19,23,19,353,260,93,2,22,426,312,114,,2.93,-10.15,2.65
13,Thu,28-Nov,4:31PM ET,boxscore,L,,8-Apr,@,Dallas Cowboys,24,31,16,305,255,50,2,23,352,208,144,1,-1.61,-14.89,7.78
14,Sun,8-Dec,1:02PM ET,boxscore,L,,9-Apr,@,New York Jets,27,37,19,383,233,150,1,18,352,209,143,1,9.03,-11.93,-9.82
15,Sun,15-Dec,4:05PM ET,boxscore,L,,10-Apr,,Kansas City Chiefs,31,56,26,461,331,130,7,19,384,306,78,1,-0.85,-20.99,-7.4
16,Sun,22-Dec,4:25PM ET,boxscore,L,,11-Apr,@,San Diego Chargers,13,26,14,265,206,59,2,24,344,196,148,3,-7.08,-8,4.38
17,Sun,29-Dec,4:25PM ET,boxscore,L,,12-Apr,,Denver Broncos,14,34,17,255,191,64,1,28,458,334,124,,-1.86,-20.56,-0.14
