,,,,,,,,,,Score,,Offense,,,,,Defense,,,,,Expected Points,,
Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,12-Sep,4:16PM ET,boxscore,L,,0-1,,Green Bay Packers,20,27,16,320,171,149,1,22,299,167,132,2,-3.3,-2.87,-0.05
2,Sun,19-Sep,1:02PM ET,boxscore,W,,1-Jan,@,Detroit Lions,35,32,24,410,248,162,,22,444,329,115,2,15.28,-7.33,-4.68
3,Sun,26-Sep,4:05PM ET,boxscore,W,,1-Feb,@,Jacksonville Jaguars,28,3,15,373,267,106,,16,191,52,139,1,10.77,15.58,-4.17
4,Sun,3-Oct,4:15PM ET,boxscore,L,,2-Feb,,Washington Redskins,12,17,21,353,243,110,2,16,293,124,169,1,-3.33,-5.57,3.29
5,Sun,10-Oct,8:30PM ET,boxscore,W,,2-Mar,@,San Francisco 49ers,27,24,17,352,227,125,1,21,364,290,74,5,-0.8,7.5,-2.06
6,Sun,17-Oct,1:02PM ET,boxscore,W,,2-Apr,,Atlanta Falcons,31,17,23,474,320,154,1,20,293,228,65,2,17.37,1.27,-2.51
7,Sun,24-Oct,1:02PM ET,boxscore,L,,3-Apr,@,Tennessee Titans,19,37,21,326,227,99,4,15,328,253,75,3,-12.98,-2.32,-4.96
8,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
9,Sun,7-Nov,4:16PM ET,boxscore,W,,3-May,,Indianapolis Colts,26,24,19,402,207,195,,27,338,276,62,2,9.29,-8.84,1.93
10,Mon,15-Nov,8:40PM ET,boxscore,W,,3-Jun,@,Washington Redskins,59,28,28,592,332,260,,15,375,270,105,3,36.42,1.4,-6.52
11,Sun,21-Nov,8:30PM ET,boxscore,W,,3-Jul,,New York Giants,27,17,17,392,244,148,2,13,208,147,61,5,4.49,9.75,-3.99
12,Sun,28-Nov,4:15PM ET,boxscore,L,,4-Jul,@,Chicago Bears,26,31,24,398,293,105,1,18,349,218,131,,6.3,-12.21,2.63
13,Thu,2-Dec,8:30PM ET,boxscore,W,,4-Aug,,Houston Texans,34,24,22,416,301,115,1,27,431,323,108,2,19.01,-10.12,-0.37
14,Sun,12-Dec,8:30PM ET,boxscore,W,,4-Sep,@,Dallas Cowboys,30,27,18,429,258,171,2,22,349,239,110,2,11.26,-6.33,0.47
15,Sun,19-Dec,1:03PM ET,boxscore,W,,4-Oct,@,New York Giants,38,31,19,418,221,197,3,20,364,264,100,2,2.33,-1.89,7.35
16,Tue,28-Dec,8:06PM ET,boxscore,L,,5-Oct,,Minnesota Vikings,14,24,24,331,224,107,3,21,337,176,161,1,-1.97,-4.49,-2.93
17,Sun,2-Jan,4:15PM ET,boxscore,L,,6-Oct,,Dallas Cowboys,13,14,14,244,123,121,4,14,272,113,159,1,-20.85,7.56,8.65
,,Playoffs,,,,,,,,,,,,,,,,,,,,,,
Wild Card,Sun,9-Jan,4:40PM ET,boxscore,L,,7-Oct,,Green Bay Packers,16,21,18,352,271,81,1,20,309,171,138,2,3.92,-9.04,-0.99
