,,,,,,,,,,Score,,Offense,,,,,Defense,,,,,Expected Points,,
Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,12-Sep,1:02PM ET,boxscore,W,OT,Jan-00,,Atlanta Falcons,15,9,14,354,211,143,1,18,295,237,58,1,-3.01,8.9,-0.69
2,Sun,19-Sep,1:02PM ET,boxscore,W,,Feb-00,@,Tennessee Titans,19,11,7,127,21,106,1,14,238,192,46,7,-23.89,27.35,4.01
3,Sun,26-Sep,1:03PM ET,boxscore,W,,Mar-00,@,Tampa Bay Buccaneers,38,13,17,387,186,201,2,18,303,228,75,2,11.67,10.71,2.99
4,Sun,3-Oct,1:02PM ET,boxscore,L,,1-Mar,,Baltimore Ravens,14,17,14,210,126,84,1,22,320,250,70,2,-1.83,-1.27,-2.4
5,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
6,Sun,17-Oct,1:02PM ET,boxscore,W,,1-Apr,,Cleveland Browns,28,10,22,378,257,121,1,17,327,258,69,3,9.34,0.9,5.22
7,Sun,24-Oct,1:02PM ET,boxscore,W,,1-May,@,Miami Dolphins,23,22,15,348,290,58,2,15,313,249,64,2,2.32,5.33,-4.93
8,Sun,31-Oct,8:30PM ET,boxscore,L,,2-May,@,New Orleans Saints,10,20,13,279,171,108,2,19,318,288,30,2,-10.66,-0.77,1.27
9,Mon,8-Nov,8:40PM ET,boxscore,W,,2-Jun,@,Cincinnati Bengals,27,21,14,314,193,121,2,18,272,218,54,2,-3.97,-0.23,6.4
10,Sun,14-Nov,8:30PM ET,boxscore,L,,3-Jun,,New England Patriots,26,39,27,425,349,76,1,26,453,350,103,,10.29,-15.6,-2.65
11,Sun,21-Nov,1:02PM ET,boxscore,W,,3-Jul,,Oakland Raiders,35,3,18,431,269,162,1,17,182,121,61,3,11.38,26.03,-4.58
12,Sun,28-Nov,1:02PM ET,boxscore,W,OT,3-Aug,@,Buffalo Bills,19,16,28,426,220,206,1,19,329,255,74,2,5.35,1.51,-3.86
13,Sun,5-Dec,8:30PM ET,boxscore,W,,3-Sep,@,Baltimore Ravens,13,10,17,288,234,54,1,14,269,226,43,1,-0.03,9.06,-4.34
14,Sun,12-Dec,1:02PM ET,boxscore,W,,3-Oct,,Cincinnati Bengals,23,7,18,354,231,123,,14,190,156,34,3,2.95,16.97,-4.72
15,Sun,19-Dec,4:15PM ET,boxscore,L,,4-Oct,,New York Jets,17,22,25,378,232,146,,17,276,170,106,,11.72,-6.26,-9.35
16,Thu,23-Dec,8:29PM ET,boxscore,W,,4-Nov,,Carolina Panthers,27,3,22,408,293,115,2,7,119,45,74,2,1.46,19.54,1.6
17,Sun,2-Jan,1:02PM ET,boxscore,W,,4-Dec,@,Cleveland Browns,41,9,24,418,318,100,,17,225,182,43,3,26.75,10.01,-3.33
,,Playoffs,,,,,,,,,,,,,,,,,,,,,,
Division,Sat,15-Jan,4:35PM ET,boxscore,W,,13-4,,Baltimore Ravens,31,24,21,263,192,71,2,12,126,91,35,3,-1.77,15.91,-6.44
Conf. Champ.,Sun,23-Jan,6:41PM ET,boxscore,W,,14-4,,New York Jets,24,19,23,287,121,166,2,17,289,219,70,1,4.42,1.33,0.95
SuperBowl,Sun,6-Feb,6:34PM ET,boxscore,L,,14-5,N,Green Bay Packers,25,31,19,387,261,126,3,15,338,288,50,,-2.89,-7.72,2.46
