,,,,,,,,,,Score,,Offense,,,,,Defense,,,,,Expected Points,,
Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,11-Sep,4:22PM ET,boxscore,W,,Jan-00,,Seattle Seahawks,33,17,12,209,124,85,,18,219,155,64,3,-6.19,12.83,10.14
2,Sun,18-Sep,4:05PM ET,boxscore,L,OT,1-Jan,,Dallas Cowboys,24,27,14,206,132,74,1,20,472,427,45,2,-2.83,-12.54,14.1
3,Sun,25-Sep,1:02PM ET,boxscore,W,,1-Feb,@,Cincinnati Bengals,13,8,16,226,176,50,1,14,228,149,79,3,-11.32,14.52,4.57
4,Sun,2-Oct,1:03PM ET,boxscore,W,,1-Mar,@,Philadelphia Eagles,24,23,22,442,278,164,1,23,513,405,108,3,13.05,-7.24,-1.04
5,Sun,9-Oct,4:05PM ET,boxscore,W,,1-Apr,,Tampa Bay Buccaneers,48,3,28,418,205,213,1,14,272,186,86,3,21.86,19.48,2.25
6,Sun,16-Oct,1:03PM ET,boxscore,W,,1-May,@,Detroit Lions,25,19,14,314,111,203,2,21,310,244,66,,-11.84,6.91,9.93
7,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
8,Sun,30-Oct,4:15PM ET,boxscore,W,,1-Jun,,Cleveland Browns,20,10,19,348,174,174,,18,290,224,66,2,5.67,1.63,-0.61
9,Sun,6-Nov,1:03PM ET,boxscore,W,,1-Jul,@,Washington Redskins,19,11,15,326,188,138,1,17,303,251,52,3,-5.3,12.73,1.27
10,Sun,13-Nov,4:15PM ET,boxscore,W,,1-Aug,,New York Giants,27,20,16,305,228,77,1,21,395,302,93,2,1.7,-7.56,10.27
11,Sun,20-Nov,4:05PM ET,boxscore,W,,1-Sep,,Arizona Cardinals,23,7,25,431,267,164,1,11,229,149,80,5,6.07,16.51,-4.72
12,Thu,24-Nov,8:29PM ET,boxscore,L,,2-Sep,@,Baltimore Ravens,6,16,12,170,96,74,1,16,253,161,92,,-13.85,-2.65,6.56
13,Sun,4-Dec,4:15PM ET,boxscore,W,,2-Oct,,St. Louis Rams,26,0,18,389,245,144,,10,157,126,31,2,3.58,21.2,-0.82
14,Sun,11-Dec,4:05PM ET,boxscore,L,,3-Oct,@,Arizona Cardinals,19,21,12,233,143,90,,12,325,270,55,3,-13.47,4.23,6.91
15,Mon,19-Dec,9:00PM ET,boxscore,W,,3-Nov,,Pittsburgh Steelers,20,3,17,287,187,100,,20,389,305,84,4,-3.42,9.33,10.38
16,Sat,24-Dec,4:16PM ET,boxscore,W,,3-Dec,@,Seattle Seahawks,19,17,21,349,171,178,,14,265,141,124,1,1.02,1.8,-0.22
17,Sun,1-Jan,1:00PM ET,boxscore,W,,13-3,@,St. Louis Rams,34,27,21,321,205,116,,18,311,200,111,2,6.88,3.7,-4.17
,,Playoffs,,,,,,,,,,,,,,,,,,,,,,
Division,Sat,14-Jan,4:35PM ET,boxscore,W,,14-3,,New Orleans Saints,36,32,17,407,264,143,1,26,472,435,37,5,0.42,-10.46,14.14
Conf. Champ.,Sun,22-Jan,6:41PM ET,boxscore,L,OT,14-4,,New York Giants,17,20,15,328,178,150,2,20,352,267,85,,-1.1,11.25,-7.51
