,,,,,,,,,,Score,,Offense,,,,,Defense,,,,,Expected Points,,
Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,12-Sep,4:16PM ET,boxscore,W,,Jan-00,,San Francisco 49ers,31,6,14,242,165,77,1,14,263,214,49,2,2.3,21.98,2.49
2,Sun,19-Sep,4:06PM ET,boxscore,L,,1-Jan,@,Denver Broncos,14,31,17,339,230,109,4,23,369,304,65,,1.8,-17.46,-0.36
3,Sun,26-Sep,4:16PM ET,boxscore,W,,1-Feb,,San Diego Chargers,27,20,13,271,203,68,2,27,518,429,89,5,-5.48,2.42,16.72
4,Sun,3-Oct,1:00PM ET,boxscore,L,,2-Feb,@,St. Louis Rams,3,20,15,257,193,64,2,19,349,261,88,1,-22.3,5.23,2.33
5,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
6,Sun,17-Oct,1:02PM ET,boxscore,W,,2-Mar,@,Chicago Bears,23,20,20,353,242,111,,15,307,246,61,,0.28,0.98,3.21
7,Sun,24-Oct,4:06PM ET,boxscore,W,,2-Apr,,Arizona Cardinals,22,10,16,302,158,144,1,13,227,114,113,5,-14.84,15.69,12.62
8,Sun,31-Oct,4:15PM ET,boxscore,L,,3-Apr,@,Oakland Raiders,3,33,10,164,117,47,1,18,545,306,239,,-19.68,-15.8,2.79
9,Sun,7-Nov,4:05PM ET,boxscore,L,,4-Apr,,New York Giants,7,41,8,162,113,49,3,30,487,290,197,1,-14.24,-19.37,-1.79
10,Sun,14-Nov,4:15PM ET,boxscore,W,,4-May,@,Arizona Cardinals,36,18,24,490,380,110,1,19,327,286,41,2,8.78,8.26,-1.59
11,Sun,21-Nov,4:05PM ET,boxscore,L,,5-May,@,New Orleans Saints,19,34,21,424,366,58,2,26,494,382,112,2,5.87,-24.97,5.1
12,Sun,28-Nov,4:06PM ET,boxscore,L,,6-May,,Kansas City Chiefs,24,42,13,288,268,20,3,28,503,233,270,1,-12.85,-21.74,14.1
13,Sun,5-Dec,4:16PM ET,boxscore,W,,6-Jun,,Carolina Panthers,31,14,25,371,210,161,2,18,283,152,131,1,8.38,9.43,-1.96
14,Sun,12-Dec,4:05PM ET,boxscore,L,,7-Jun,@,San Francisco 49ers,21,40,20,361,277,84,5,10,336,241,95,,-17.8,-4.22,4.85
15,Sun,19-Dec,4:06PM ET,boxscore,L,,8-Jun,,Atlanta Falcons,18,34,15,234,143,91,3,21,266,168,98,1,-14.38,-2.29,-2.29
16,Sun,26-Dec,4:16PM ET,boxscore,L,,9-Jun,@,Tampa Bay Buccaneers,15,38,10,174,84,90,,22,439,231,208,,-4.25,-22.94,2.75
17,Sun,2-Jan,8:31PM ET,boxscore,W,,9-Jul,,St. Louis Rams,16,6,19,333,192,141,1,10,184,137,47,1,-5.64,22.26,-5.43
,,Playoffs,,,,,,,,,,,,,,,,,,,,,,
Wild Card,Sat,8-Jan,4:35PM ET,boxscore,W,,9-Aug,,New Orleans Saints,41,36,19,415,265,150,1,32,474,397,77,1,13.99,-13.16,4.7
Division,Sun,16-Jan,1:05PM ET,boxscore,L,,10-Aug,@,Chicago Bears,24,35,18,276,242,34,,21,437,261,176,1,-1.27,-9.41,-0.31
