,,,,,,,,,,Score,,Offense,,,,,Defense,,,,,Expected Points,,
Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,11-Sep,1:06PM ET,boxscore,L,,0-1,,Detroit Lions,20,27,17,315,259,56,2,25,431,305,126,1,0.26,-7.26,1.73
2,Sun,18-Sep,1:05PM ET,boxscore,W,,1-Jan,@,Minnesota Vikings,24,20,19,335,230,105,1,25,398,212,186,1,8.91,-13.95,8.24
3,Sun,25-Sep,4:16PM ET,boxscore,W,,1-Feb,,Atlanta Falcons,16,13,20,295,180,115,2,21,325,295,30,3,-6.98,4.83,5.61
4,Mon,3-Oct,8:40PM ET,boxscore,W,,1-Mar,,Indianapolis Colts,24,17,25,466,274,192,,13,318,256,62,1,13.28,-1.82,-2.96
5,Sun,9-Oct,4:05PM ET,boxscore,L,,2-Mar,@,San Francisco 49ers,3,48,14,272,186,86,3,28,418,205,213,1,-19.48,-21.86,-2.25
6,Sun,16-Oct,4:15PM ET,boxscore,W,,2-Apr,,New Orleans Saints,26,20,21,420,303,117,,20,453,383,70,4,7.68,-2.61,2.47
7,Sun,23-Oct,1:05PM ET,boxscore,L,,3-Apr,,Chicago Bears,18,24,16,280,250,30,4,19,395,218,177,2,-17.93,1.32,10.02
8,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
9,Sun,6-Nov,1:03PM ET,boxscore,L,,4-Apr,@,New Orleans Saints,16,27,18,365,281,84,,25,453,258,195,1,4.23,-19.65,7.67
10,Sun,13-Nov,1:02PM ET,boxscore,L,,5-Apr,,Houston Texans,9,37,12,231,141,90,4,21,420,235,185,,-23.96,-15.5,10.67
11,Sun,20-Nov,1:02PM ET,boxscore,L,,6-Apr,@,Green Bay Packers,26,35,22,455,334,121,2,24,378,287,91,1,7.59,-17.58,-1.61
12,Sun,27-Nov,1:02PM ET,boxscore,L,,7-Apr,@,Tennessee Titans,17,23,15,308,186,122,5,18,352,150,202,4,-18.79,15.36,-1.91
13,Sun,4-Dec,1:02PM ET,boxscore,L,,8-Apr,,Carolina Panthers,19,38,15,285,207,78,1,26,385,222,163,,-2.41,-26.22,10.02
14,Sun,11-Dec,1:03PM ET,boxscore,L,,9-Apr,@,Jacksonville Jaguars,14,41,15,280,170,110,7,21,325,209,116,2,-19.92,1.54,-9.48
15,Sat,17-Dec,8:29PM ET,boxscore,L,,10-Apr,,Dallas Cowboys,15,31,7,190,132,58,1,28,399,239,160,1,-10.22,-15.8,6.4
16,Sat,24-Dec,1:04PM ET,boxscore,L,,11-Apr,@,Carolina Panthers,16,48,23,317,258,59,4,20,433,163,270,,-3.74,-27.17,-2.42
17,Sun,1-Jan,4:17PM ET,boxscore,L,,12-Apr,@,Atlanta Falcons,24,45,18,294,259,35,4,22,428,177,251,2,-13.19,-13.63,1.22
