,,,,,,,,,,Score,,Offense,,,,,Defense,,,,,Expected Points,,
Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,10-Sep,1:00PM ET,boxscore,L,,0-1,,Oakland Raiders,16,26,21,350,255,95,,22,359,250,109,,9.12,-12.55,-7.62
2,Sun,17-Sep,1:00PM ET,boxscore,W,,1-Jan,@,Jacksonville Jaguars,37,16,21,390,211,179,1,20,310,211,99,3,10.55,5.77,3.7
3,Sun,24-Sep,4:05PM ET,boxscore,W,,1-Feb,,Seattle Seahawks,33,27,21,420,225,195,,24,433,364,69,,13.49,-8.74,3.82
4,Sun,1-Oct,1:00PM ET,boxscore,L,,2-Feb,@,Houston Texans,14,57,9,195,109,86,5,33,445,272,173,1,-20.24,-27.31,3.14
5,Sun,8-Oct,1:00PM ET,boxscore,L,,3-Feb,@,Miami Dolphins,10,16,14,188,119,69,2,12,178,78,100,2,-25.61,20.39,0.74
6,Mon,16-Oct,8:30PM ET,boxscore,W,,3-Mar,,Indianapolis Colts,36,22,25,473,305,168,1,18,297,212,85,1,15.36,0.45,-3.68
7,Sun,22-Oct,1:00PM ET,boxscore,W,OT,3-Apr,@,Cleveland Browns,12,9,16,269,189,80,1,19,284,218,66,3,-13.07,16.43,-0.4
8,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
9,Sun,5-Nov,1:00PM ET,boxscore,W,,3-May,,Baltimore Ravens,23,20,14,257,186,71,1,24,341,268,73,2,0.73,-0.66,4
10,Sun,12-Nov,1:00PM ET,boxscore,W,,3-Jun,,Cincinnati Bengals,24,20,27,416,236,180,2,15,308,255,53,2,2.76,4.44,-4.42
11,Thu,16-Nov,8:25PM ET,boxscore,L,,4-Jun,@,Pittsburgh Steelers,17,40,17,316,264,52,4,25,349,284,65,,-10.68,-10.02,-4.56
12,Sun,26-Nov,1:00PM ET,boxscore,W,,4-Jul,@,Indianapolis Colts,20,16,19,276,184,92,2,15,254,165,89,1,0.56,7.31,-0.32
13,Sun,3-Dec,1:00PM ET,boxscore,W,,4-Aug,,Houston Texans,24,13,19,344,146,198,1,24,384,331,53,1,18.55,-3.6,-2.53
14,Sun,10-Dec,4:05PM ET,boxscore,L,,5-Aug,@,Arizona Cardinals,7,12,14,204,139,65,2,16,261,125,136,,-18.35,8.75,-0.07
15,Sun,17-Dec,4:25PM ET,boxscore,L,,6-Aug,@,San Francisco 49ers,23,25,23,328,238,90,1,23,414,363,51,,10.46,-13.08,0.42
16,Sun,24-Dec,1:00PM ET,boxscore,L,,7-Aug,,Los Angeles Rams,23,27,19,366,269,97,1,20,402,286,116,1,0.11,-8.64,4.53
17,Sun,31-Dec,4:25PM ET,boxscore,W,,7-Sep,,Jacksonville Jaguars,15,10,11,232,116,116,1,13,229,146,83,4,-21.56,18.15,10.19
,,Playoffs,,,,,,,,,,,,,,,,,,,,,,
Wild Card,Sat,6-Jan,4:35PM ET,boxscore,W,,7-Oct,@,Kansas City Chiefs,22,21,23,397,195,202,2,19,325,256,69,,11.23,-6.97,-3.21
Division,Sat,13-Jan,8:15PM ET,boxscore,L,,8-Oct,@,New England Patriots,14,35,15,267,202,65,,31,438,337,101,,-2,-25.58,7.65
